CODE ADHERENT;NOM FOURNISSEUR;TYPE DE PIECE;DOCUMENT NUMBER;DATE;LIGNE_FACTURE;FAMILLE;REF PRODUIT;LIBELEE PRODUIT;ETAT DEPOT;QUANTITE;VAT rate;PRIX D'ACHAT CATALOGUE HT;PRIX D'ACHAT REEL HT;PRIX D'ACHAT REEL TTC;DELIVERY NOTE NUMBER;DELIVERY NOTE Date;CUST.REF;ANCIEN N° SERIE ;N° SERIE
INNO001;STARKEY;FA;21424649;2021-09-24;24;PR;63219-SHT;STARKEY LIVIO EDGE AI 2400 ITE R;;1;0550;1425,00;598,75;631,68;3909198;2021-09-24;;;7021370351
INNO001;STARKEY;FA;21424649;2021-09-24;25;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3909198;2021-09-24;;;
INNO001;STARKEY;FA;21424649;2021-09-24;26;REPA;RRCER2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3909593;2021-09-24;;;7018130004
INNO001;STARKEY;FA;21424649;2021-09-24;27;REPA;RRCER2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3909593;2021-09-24;;;7018130003
ARI003;STARKEY;FA;21424650;2021-09-24;28;AC;43061-000;Chargeur Standard - RIC et BTE;;1;0550;150,00;0,00;0,00;3905085;2021-09-20;;;21326046EE
ARI003;STARKEY;FA;21424650;2021-09-24;29;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3905085;2021-09-20;;;
GA004;STARKEY;FA;21424651;2021-09-24;1;PT;PT20;BERNIER Retour;;1;2000;7,90;7,90;9,48;3905208;2021-09-20;;;
GA004;STARKEY;FA;21424651;2021-09-24;2;AC;12522-000;BOITE DE 8 PROTECTIONS ECOUTEUR (HearClear);;50;0550;3,60;180,00;189,90;3905208;2021-09-20;;;
GA004;STARKEY;FA;21424651;2021-09-24;3;EMB;EM2139;STARKEY PERFORMER 15;;1;2000;52,50;30,00;36,00;3905906;2021-09-21;;;EF21370335
GA004;STARKEY;FA;21424651;2021-09-24;4;EMB;EM2139;STARKEY PERFORMER 15;;1;2000;52,50;30,00;36,00;3905906;2021-09-21;;;EF21370334
GA004;STARKEY;FA;21424651;2021-09-24;5;PT;PT20;BERNIER Retour;;1;2000;7,90;7,90;9,48;3905906;2021-09-21;;;
GF002;STARKEY;FA;21424652;2021-09-24;1;PR;1SYVN1N;STARKEY SOUNDLENS SYNERGY IQ 2400;;1;0550;1105,00;536,75;566,27;3905234;2021-09-20;;;7021371338
GF002;STARKEY;FA;21424652;2021-09-24;2;PT;PT1;PORT TNT ALLER / RETOUR;;1;2000;23,50;23,50;28,20;3905234;2021-09-20;;;
GF002;STARKEY;FA;21424652;2021-09-24;3;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3905234;2021-09-20;;;
GF002;STARKEY;FA;21424652;2021-09-24;4;PR;1SYVN1N;STARKEY SOUNDLENS SYNERGY IQ 2400;;1;0550;1105,00;536,75;566,27;3905234;2021-09-20;;;7021371337
GF002;STARKEY;FA;21424652;2021-09-24;5;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3905234;2021-09-20;;;
;STARKEY;FA;21424653;2021-09-24;1;AC;12522-000;BOITE DE 8 PROTECTIONS ECOUTEUR (HearClear);;30;0550;3,60;108,00;113,94;3905267;2021-09-20;;;
;STARKEY;FA;21424653;2021-09-24;2;AC;52964-006;KIT DE 32 PROTECTIONS MICRO HEAR CLEAR PLUS SMALL CBN;;1;0550;16,00;16,00;16,88;3905267;2021-09-20;;;
;STARKEY;FA;21424653;2021-09-24;3;REPA;RRCCR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3908167;2021-09-23;;;7019160319
;STARKEY;FA;21424653;2021-09-24;4;REPA;RRCCM2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3908177;2021-09-23;;;7021220224
ARI010;STARKEY;FA;21424654;2021-09-24;1;REPA;RRCER2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3905483;2021-09-20;;;7020400008
ARI010;STARKEY;FA;21424654;2021-09-24;2;REPA;RRCER2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3905483;2021-09-20;;;7020400007
ARI010;STARKEY;FA;21424654;2021-09-24;3;REPA;RRCICR2;REPARATION SOUS GARANTIE;;1;0550;0,00;0,00;0,00;3907052;2021-09-22;;;7018461344
ARI010;STARKEY;FA;21424654;2021-09-24;4;AC;43041-000;Chargeur Intra-auriculaires;;1;0550;150,00;80,00;84,40;3907174;2021-09-22;;;212890300E
ARI010;STARKEY;FA;21424654;2021-09-24;5;CONT;CONTENVT;CONTRIBUTION ENVIRONNEMENTALE;;1;0550;0,02;0,02;0,02;3907174;2021-09-22;;;
